19-Nov-2008 22:47:46,19-Nov-2008 22:49:17,28,1
19-Nov-2008 22:49:20,19-Nov-2008 22:49:22,28,1
19-Nov-2008 22:49:24,19-Nov-2008 22:50:14,28,1
19-Nov-2008 22:50:18,20-Nov-2008 11:14:11,28,1
19-Nov-2008 22:51:02,19-Nov-2008 22:51:04,25,1
19-Nov-2008 22:51:04,19-Nov-2008 22:51:45,25,1
19-Nov-2008 22:51:49,20-Nov-2008 11:03:26,25,1
19-Nov-2008 22:52:17,20-Nov-2008 11:04:01,10,1
19-Nov-2008 22:59:12,19-Nov-2008 22:59:40,23,1
19-Nov-2008 22:59:53,19-Nov-2008 23:00:04,30,1
19-Nov-2008 23:00:06,20-Nov-2008 00:15:08,30,1
19-Nov-2008 23:00:26,19-Nov-2008 23:00:32,23,1
19-Nov-2008 23:01:13,19-Nov-2008 23:01:14,6,1
19-Nov-2008 23:01:21,19-Nov-2008 23:01:22,6,1
19-Nov-2008 23:02:40,19-Nov-2008 23:02:42,6,1
19-Nov-2008 23:18:40,19-Nov-2008 23:18:42,6,1
19-Nov-2008 23:18:59,19-Nov-2008 23:19:01,6,1
19-Nov-2008 23:19:17,19-Nov-2008 23:19:19,6,1
19-Nov-2008 23:22:25,19-Nov-2008 23:22:27,6,1
19-Nov-2008 23:23:44,19-Nov-2008 23:23:46,6,1
20-Nov-2008 00:15:10,20-Nov-2008 00:15:12,30,1
20-Nov-2008 00:15:29,20-Nov-2008 00:39:15,30,1
20-Nov-2008 00:15:42,20-Nov-2008 00:16:06,23,1
20-Nov-2008 00:16:16,20-Nov-2008 00:16:17,6,1
20-Nov-2008 00:39:18,20-Nov-2008 10:42:21,30,1
20-Nov-2008 00:39:23,20-Nov-2008 00:39:24,18,1
20-Nov-2008 00:39:28,20-Nov-2008 00:39:41,23,1
20-Nov-2008 00:39:46,20-Nov-2008 00:39:48,23,1
20-Nov-2008 00:39:54,20-Nov-2008 00:39:55,23,1
20-Nov-2008 00:40:10,20-Nov-2008 00:40:12,6,1
20-Nov-2008 00:40:11,20-Nov-2008 00:40:12,6,1
20-Nov-2008 01:03:43,20-Nov-2008 01:03:45,6,1
20-Nov-2008 01:03:46,20-Nov-2008 01:03:47,6,1
20-Nov-2008 01:08:13,20-Nov-2008 01:08:14,6,1
20-Nov-2008 01:30:23,20-Nov-2008 01:30:24,16,1
20-Nov-2008 01:32:04,20-Nov-2008 01:33:42,38,1
20-Nov-2008 01:32:08,20-Nov-2008 08:49:33,8,1
20-Nov-2008 01:33:42,20-Nov-2008 01:33:44,38,1
20-Nov-2008 01:34:00,20-Nov-2008 01:34:01,35,1
20-Nov-2008 01:34:05,20-Nov-2008 01:34:06,38,1
20-Nov-2008 01:34:54,20-Nov-2008 01:34:56,35,1
