2008-11-19 22:49:00,2008-11-19 22:49:59,1
2008-11-19 22:50:40,2008-11-19 22:51:45,4
2008-11-19 22:59:25,2008-11-19 23:00:00,17
2008-11-19 23:00:50,2008-11-20 00:14:49,28
2008-11-20 00:14:50,2008-11-20 00:15:19,17
2008-11-20 00:15:20,2008-11-20 00:38:59,28
2008-11-20 00:39:00,2008-11-20 00:39:59,16
2008-11-20 00:40:00,2008-11-20 01:24:59,28
2008-11-20 01:30:29,2008-11-20 01:31:10,7
2008-11-20 01:31:30,2008-11-20 01:36:20,6
2008-11-20 01:36:59,2008-11-20 08:48:38,10
2008-11-20 08:48:39,2008-11-20 08:49:40,7
2008-11-20 08:49:41,2008-11-20 09:31:40,10
2008-11-20 09:32:49,2008-11-20 09:37:10,11
2008-11-20 10:41:50,2008-11-20 10:47:00,13
2008-11-20 10:47:00,2008-11-20 11:02:10,3
2008-11-20 11:03:00,2008-11-20 11:03:59,4
2008-11-20 13:11:10,2008-11-20 13:18:49,14
2008-11-20 13:18:50,2008-11-20 13:20:40,4
2008-11-20 13:20:41,2008-11-20 13:22:29,14
2008-11-20 13:22:29,2008-11-20 13:33:59,3
2008-11-20 13:35:20,2008-11-20 14:00:00,28
2008-11-20 15:28:00,2008-11-20 17:20:00,1
2008-11-20 17:21:59,2008-11-20 17:23:20,4
2008-11-20 17:27:19,2008-11-20 17:54:59,15
2008-11-20 17:54:59,2008-11-20 18:14:28,3
2008-11-20 18:14:29,2008-11-20 19:52:59,28
2008-11-20 19:53:00,2008-11-20 18:30:30,3
2008-11-20 19:50:10,2008-11-20 19:51:15,4
2008-11-20 19:57:10,2008-11-20 22:38:00,1
2008-11-21 00:44:30,2008-11-21 00:45:00,7
2008-11-21 00:45:00,2008-11-21 00:50:00,12
2008-11-21 00:50:59,2008-11-21 06:00:58,10
2008-11-21 06:00:59,2008-11-21 06:04:40,7
2008-11-21 06:04:41,2008-11-21 11:20:00,10
2008-11-21 11:21:29,2008-11-21 11:21:59,7
2008-11-21 11:24:29,2008-11-21 11:27:40,11
2008-11-21 11:33:30,2008-11-21 11:41:20,13
2008-11-21 11:41:20,2008-11-21 12:03:29,3
2008-11-21 13:07:59,2008-11-21 13:11:29,28
2008-11-21 13:42:40,2008-11-21 13:47:29,14
2008-11-21 13:47:40,2008-11-21 14:03:50,3
2008-11-21 14:37:50,2008-11-21 14:38:40,17
2008-11-21 14:52:20,2008-11-21 14:54:59,4
2008-11-21 15:42:59,2008-11-21 16:29:39,5
2008-11-21 16:30:00,2008-11-21 16:33:29,11
